pca1,pca2,community,t-sne1,t-sne2,simplified community,username,engagement_score,retweet_count,favorite count,followers count,tweet_text
-13400.543427228897,-0.0626439631873636,0,5.3067427,-5.5773416,0,terrell thaddies,0.0,0,0,379,"@JerrellZod I mean.....T'Challa is dead. The main core about this movie is honoring the legacy of T'Challa and Chadwick. A set video/photo for Wakanda Forever featured a supposed funeral

The mantle is getting passed down"
-13633.543427229146,-0.0490428100677051,0,-32.919262,6.72598,0,kimberly moten,0.0136054421768707,0,2,146,"@dawggirl27 @HBTD2021 @Marvel @DisneyStudios @Kevfeige I don't want the movie made, after he passed away. I just feel it well not be the same 😥💔"
-13400.543427228897,-0.0626439631873636,0,5.306743,-5.5773416,0,terrell thaddies,0.0,0,0,379,"@SamuraiSloth17 @MiggytheaceGod The reason that I had said that the mantle is getting passed down is because a set photo of T'Challa's tribute had came with a text that wasn't in English and translated to ""REST IN POWER, KING TCHALLA, OUR HERO, TWAS AN HONOR, WAKANDA FOREVER"""
-13400.543427228897,-0.0626439631873636,0,5.306743,-5.5773416,0,terrell thaddies,0.0,0,0,379,"@Kvng__Drizzy @Eon1Eno @EmansReviews @MarvelStudios Sorry but that's what's happening. A set photo of T'Challa's tribute had came with a text that wasn't in English and translated to ""REST IN POWER, KING TCHALLA, OUR HERO, TWAS AN HONOR, WAKANDA FOREVER""

It's definitely getting passed down"
-13400.543427228897,-0.0626439631873636,0,5.306743,-5.5773416,0,terrell thaddies,0.0,0,0,379,"@JerrellZod I mean.....T'Challa is dead. The main core about this movie is honoring the legacy of T'Challa and Chadwick. A set video/photo for Wakanda Forever featured a supposed funeral

The mantle is getting passed down"
-13406.543427228897,-0.0626440736351888,412,5.4526587,-3.4312618,Other,carlyle tyson,0.0,0,0,373,"@DonCole99_ I love character of T'challa but I also love story telling whether it is Shuri, Nakia, M'Baku, or T'challa unknown son. It is going to be interesting story.The concept of Black Panther is interesting even without T'challa and it is built occasionally pass mantle away from him."
-13512.543427228897,-0.0626460248801008,420,-14.083022,36.30113,Other,sidenorna,0.0,0,0,267,"@Kesswylie @powrdragn Do you want to recast Tony stark, or Steve Rogers? Like Black Panther is a title that has passed between characters already in the show. I think honoring the actor is worth wile. Like even if it takes a bit creative editing to get say a secret son, or Kill monger not dead etc..."
-13508.543427228897,-0.0626459512482173,935,-13.189005,36.854706,Other,jaheim😶🥷,0.0,0,0,271,"@royalsultana No worries, I just hope this black panther film is good, what do you think of the current situation, do you think that they should’ve recasted or just pass the mantle on?"
-13754.543427232436,0.1296572126986413,0,-65.91723,6.0145617,0,keyla,0.1923076923076923,0,5,25,"@Marvel Robert Downey Jr all the way, although ironman has passed away he made one of the greatest sacrifices. https://t.co/ZHEPW7eqDV"
-13679.543427229077,-0.0527481089122258,2,-44.274597,-10.860433,2,atumbem kosmos,0.0099009900990099,0,1,100,"@NahGuyLol @Killer35Durant @Time17Prime No it’s not, Black Panther is a mantle, it can be passed on and worn by anyone not just TChalla. Didn’t we see TChaka &amp; Killmonger as Black Panther in the first film? Yes we did. The mantle passed twice in one film. There’s more than one Spider Man &amp; Bat man too."
-13679.543427229077,-0.0527481089122258,2,-44.274597,-10.860433,2,atumbem kosmos,0.0099009900990099,0,1,100,"@smithlocke11 @Stylo_501 @kaijumik3 No, it’s Feige keeping his word as best he can. He said he wouldn’t James Bond these characters. He doesn’t want to replace actor after actor. It’s best to pass the mantle on or move on. That’s more organic &amp; has more weight than Tchalla,Tony  &amp; Steve go on forever."
-13679.543427229077,-0.0527481089122258,2,-44.274597,-10.860433,2,atumbem kosmos,0.0099009900990099,0,1,100,"@PrettyCoolDuck @isuperebba Huh?A couple of months means 2 months, Chadwick passed almost 2 years ago. How is that a couple of months? The 1st film wasn’t that good? Yeah sure…that film was solid &amp; it was a showcase for the Black Panther Character thanks to Chadwick. Yet BP is a character that carries on."
-13679.543427229077,-0.0527481089122258,2,-44.274597,-10.860433,2,atumbem kosmos,0.0099009900990099,0,1,100,"@StnMountainYomi @kandigirl_3 @Drackmint @GraceRandolph Chadwick is no longer with us, we don’t need to slide some random actor into the role of Tchalla when when it’s already built into the lore that the Black Panther mantle is passed on from successor to successor. Tchalla is dead in the MCU, the Black Panther mantle is not.2/2"
-13679.543427229077,-0.0527481089122258,2,-44.274597,-10.860433,2,atumbem kosmos,0.0099009900990099,0,1,100,"@dood_anon @StnMountainYomi @Drackmint @GraceRandolph Maybe because Chris Hemsworth,Chris Evans &amp; Robert Downey Jr didn’t pass away between films. Marvel Studios is doing the right thing, honoring the man who brought the character to life. Recasting would be a slap in the face to Chadwick‘s family as well. Shuri’ s the new BP."
-13762.543427240144,0.5484604842382932,6,-53.832573,25.382332,6,emadalansary93,0.6111111111111112,0,11,17,"@Sailor_Io @Time17Prime That's a stupid idea, when Chadwick passed away a lot of people were asking marvel to cancel BP2 all together.
If you want them to recast T'Challa then simply make your voice heard, they didn't kill him why the fuck are you asking people to boycott them 😂"
-12300.543427228897,-0.0626237144194086,0,34.0385,-33.53823,0,sage rodriguez✍🏼💥💬📝🖊️,0.0,0,0,1479,Even though Chadwick Boseman passed away I got a feeling #WakandaForever might flop if T’Challa’s not around anymore @MarvelStudios @marvel
-13351.543427228897,-0.062643061196791,936,2.1609259,-18.535686,Other,rowan a. crump (she/they) 🏳️‍⚧️,0.0,0,0,428,"@freshbtw So what you're saying is you want a new actor to play T'Challa, but you still want the mantle of Black Panther to be passed on to someone else?"
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@Comics_Scholar @ResonantJustice @GraceRandolph The scenario is an actor who was hired to play a fictional character that existed before them passed away thusly fictional character needs new actor to continue that character's story.
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,"@Up2N0G00d8 The explanation is,
ACTOR @chadwickboseman  tragically passed away from cancer. As he is NO LONGER ABLE to fulfill a ROLE that he LOVED &amp; Respected, We have decided to HONOR him by continuing the story of the hero he began a legacy and he inspired the world with.
#RecastTchalla https://t.co/C9BuM64B4l"
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@PurpleNinjaDrip @theblerdgurl @MarvelStudios I could post multiple videos of Chadwick Boseman himself talking about how the role was important and bigger than he was. All these facts that aren't fan speculation and people are siding with a mega Corporation looking to get a movie out on time after he passed away.
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@BatmanButAsian @DanielJSteele2 @marvel_updat3s Fictional characters can't pass away.
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,"@ArkingKyle The unimaginable being, forced to work on a movie sequel after the lead character and their close friend passed away so soon in order to keep the schedule of Disney and Marvel studios? Clearly the sequel is too soon judging from the discourse"
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@rappermantweets @kandigirl_3 @BrettyBungetty The actor who originally played Hamlet has also passed away.
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@skinqueer @plantpapi__ It's not us that forced this movie to come out one and a half years after the lead actor passed away. There isn't any necessity for this movie whatsoever without the title character other than cash. I feel for the crew. But they were brave enough to show up for the paycheck
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@Gamera_Man Waiting mere weeks and in the cases of some people days after the Man passed away in order to try to shape the narrative of T'CHALLA's franchise going forward would have been disrespectful. Grief takes time to process. Greed and selfishness doesn't hence their early decision
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@Woodstock_TV @Andi24mo Nobody also releases a movie missing the titular character after the main actor passed away just a year-and-a-half ago but here we are. You still didn't answer my question. Why is it disrespectful?
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,"@moistaphaaaa @debapack @B86482608 @HeavyMetalSlug @starwars @Disney @MarvelStudios Why isn't this irrational fear stopping white actors from getting jobs in Hollywood that have been played by previous actors who did a great job or have passed away?
Do you know that other actors have already asked to play the role? So if they aren't worried about it why are you"
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@FrankliOceanic @TristansMancave @cinephile1997 Show us any petitions to back your statements up. The only vocal minority was the one that Marvel Studios listened to After Chadwick Boseman passed away who had hidden agendas on wanting to take over the franchise from him.
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@SpongeLevacic @EscaflowneClown @MarvelStudios We weren't vocal about it out of respect for Boseman who hadn't even been laid to rest yet I believe. The only people that were vocal (days after his death) were those who wanted their particular side character to take over the franchise &amp; saying no recast. Proper time passed
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@EmansReviews @mattncheese @starrdiver He appears to be going off of Articles from clickbait websites like Screen Rant. The same website that was posting misinformation about Shuri taking over after t'challa quote died in the comics just days after Chadwick Boseman had passed away
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@EricaMusic_96 @TheReal_Vincii His brother was the one that was asking as well as Chadwick Boseman himself as confirmed by Roland Martin but continue on with their silly diatribe. Hamlet is an iconic character. What do you think they should have done with that character after the actor passed away?
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@pandachill_ @crzr125 It's called healing as well. Going to the director and asking him what he's going to do about the movie Just days after attic Bozeman passed away probably wasn't the best timing for that question. Death takes a little time to get over emotionally before you return to logic.
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@awaytoseas @RPK_NEWS1 He didn't pass. His actor did. You might learn the difference between reality and fiction before interjecting
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@VinnDiggs92 @BigLilDoug @jemelehill Imagine if he came from a universe where TChaka played by Denzel died while he was a boy and he became the extremely smart and extremely paranoid version closer to the comics.  Boseman would be happy to pass that level of stardom to another black actor full circle
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@FJLightning007 @quintinlamarr @DB44143189 @renzothesaint @bpanthernews As did dumbledore. As did Spartacus. If we decided to kill a character every time an actor passed then there would be no iconic characters. This completely ignores The Art of Storytelling all because Kevin feige and Marvel Studios chose to pander in the moment to keep a schedule
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@quintinlamarr @FJLightning007 @DB44143189 @renzothesaint @bpanthernews There's outrage now. The very 1rst black Marvel hero had his franchise completely co-opted and turned into some type of fanfiction. The character didn't pass away the actor did. Marvel always recasts their white characters. If it were Spider-man what do you think would happen
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@DanielC26531669 @Jlhill56 That's too convoluted. The most Chadwick thing they could do is guve that immensely important character to another up and coming black actor to help their career. And pass it along generationally like James Bond
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@EscaflowneClown @RoyalDeafPanda @Gamora444 Misinformation about Shuri taking over the franchise when Panther dies started spreading just days after Chadwick passed on all of these junk sites and social media. That close proximity helped the lie spread just as fast &amp; wide as news of Chadwick's death now ppl regurgitate it
-12774.543427228911,-0.0616384040123118,2,31.067574,24.239283,2,t'challa: the black panther facts,0.0009940357852882,0,1,1005,@EscaflowneClown @screenrant From the same website that started petitioning and making articles/ spreading misinformation for #Shuri. 2 become #BlackPanther exactly three days after #Chadwick passed away
-13639.543427229026,-0.0555561641108407,4,-37.006786,9.01708,4,chrisemu,0.0070921985815602,0,1,140,"@TheAnimeHits @jaymasteryoda @MCU_Direct You don’t have to recast him, however just start over. T’Challa has passed away and its Shuri’s time to step up and be the queen of Wakanda. Similar to how T’challa’s ark was in Civil War and his own movie Black panther. 

But we both know marvel won’t do that."
