Tweet_count,Username,tweet_text,Created at,Location,Followers Count,retweet_count,Favorite Count,formatted_created_at,Contains_Keyword,Original_Tweeter,mentions,retweet_id,reply_to,neg,neu,pos,compound,Community,engagement_rate,followers_per_tweet,log_engagement_rate,log_followers_per_tweet,tweet_id,tweet_type,linked_tweet_id,tweet_text_lower,content_category
41,shivani parekh,"Heartbreaking to know that someone so young, talented, determined and giving has passed away from this world. A hero to all.
RIP Chadwick Bozeman. #WakandaForever #ChadwickBoseman #Hero 
https://t.co/l6jMzlFHgt",Wed Sep 02 05:17:16 +0000 2020,"Abu Dhabi, UAE",91,0,0,2020-09-02 05:17:16+00:00,True,self,,Missing_Retweet_ID,,0.081,0.591,0.329,0.8497,Other,0.0,2.2195121951219514,0.0,1.169229855882063,40,original,,"heartbreaking to know that someone so young, talented, determined and giving has passed away from this world. a hero to all.
rip chadwick bozeman. #wakandaforever #chadwickboseman #hero 
https://t.co/l6jmzlfhgt",Black Panther
47,filmy reviewz,"Wakanda and Chadwick Boseman Forever! 

Huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

Check out latest filmy tribute to MCU Black Panther Chadwick 

https://t.co/0cTuwBWKXW

Very sad news for #BlackPanther fans.
RIP",Wed Sep 02 01:52:46 +0000 2020,,2,0,3,2020-09-02 01:52:46+00:00,True,self,,Missing_Retweet_ID,,0.213,0.739,0.047,-0.8436,Other,1.5,0.0425531914893617,0.9162907318741551,0.04167269640056802,46,original,,"wakanda and chadwick boseman forever! 

huge loss to #marvel universe.. #chadwickboseman passed away at the age of 43 due to colon cancer.

check out latest filmy tribute to mcu black panther chadwick 

https://t.co/0ctuwbwkxw

very sad news for #blackpanther fans.
rip",Marvel
50,alchemy media,"#ChadwickBoseman, who is best known for his movie roles as Jackie Robinson in 42 and TChalla in Black Panther, passed away on August 28th at 43.

His incredible body of work will continue to inspire generations to come. 

Rest in love and power #RIP https://t.co/zkE5VA3TLA",Wed Sep 02 00:19:34 +0000 2020,"Los Angeles, CA",826,1,3,2020-09-02 00:19:34+00:00,True,self,,Missing_Retweet_ID,,0.0,0.776,0.224,0.9201,Other,0.004842615012106538,16.52,0.004830927269665542,2.8633430855082453,49,original,,"#chadwickboseman, who is best known for his movie roles as jackie robinson in 42 and tchalla in black panther, passed away on august 28th at 43.

his incredible body of work will continue to inspire generations to come. 

rest in love and power #rip https://t.co/zke5va3tla",Black Panther
59,ccare,"We're taking a moment to honor the memory of actor #ChadwickBoseman who, after battling #coloncancer for 4 years, passed away August 28. Learn more about how screenings can help improve the chance of survival from this deadly #cancer. https://t.co/zB1GvYRBxV https://t.co/jg5lGL7PHl",Tue Sep 01 21:10:10 +0000 2020,"Fresno & San Diego, CA",125,0,0,2020-09-01 21:10:10+00:00,False,self,,Missing_Retweet_ID,,0.046,0.719,0.235,0.8271,Other,0.0,2.1186440677966103,0.0,1.1373983137032662,58,original,,"we're taking a moment to honor the memory of actor #chadwickboseman who, after battling #coloncancer for 4 years, passed away august 28. learn more about how screenings can help improve the chance of survival from this deadly #cancer. https://t.co/zb1gvyrbxv https://t.co/jg5lgl7phl",Chadwick Boseman
63,john stud,@KyeKapri @PlayAvenger They were going to show black panther but it isnt the right time because Chadwick just passed away but hell probably get shown in the next war table,Tue Sep 01 19:04:37 +0000 2020,,8,0,2,2020-09-01 19:04:37+00:00,False,KyeKapri,"@KyeKapri, @PlayAvenger",Missing_Retweet_ID,KyeKapri,0.296,0.704,0.0,-0.9294,Other,0.25,0.12698412698412698,0.22314355131420976,0.11954515064978273,62,original,,@kyekapri @playavenger they were going to show black panther but it isnt the right time because chadwick just passed away but hell probably get shown in the next war table,Black Panther
70,sk8rxpunk,@slicer141 @PlayAvengers Way it was looking it was going to be black panther but since he passed away and to be respectful they waiting at a later time so they chose kate also story wise with her makes more since to deal with Hawkeye since they were a team for awhile in the comics,Tue Sep 01 17:24:43 +0000 2020,,46,0,2,2020-09-01 17:24:43+00:00,False,slicer141,"@slicer141, @PlayAvengers",Missing_Retweet_ID,slicer141,0.0,0.86,0.14,0.8462,1.0,0.043478260869565216,0.6571428571428571,0.04255961441879593,0.5050949490570057,69,original,,@slicer141 @playavengers way it was looking it was going to be black panther but since he passed away and to be respectful they waiting at a later time so they chose kate also story wise with her makes more since to deal with hawkeye since they were a team for awhile in the comics,Marvel
78,matt couch,"ACTOR CHADWICK BOSEMAN BLACK PANTHER STAR, VICTIM OF COLON CANCER TRAGICALLY PASSES AWAY https://t.co/OUxLySfmDX",Tue Sep 01 15:27:06 +0000 2020,"NW Arkansas, USA",774909,4,17,2020-09-01 15:27:06+00:00,False,self,,Missing_Retweet_ID,,0.53,0.47,0.0,-0.9246,Other,2.7099956252927763e-05,9934.73076923077,2.709958905574731e-05,9.203892707311656,77,original,,"actor chadwick boseman black panther star, victim of colon cancer tragically passes away https://t.co/ouxlysfmdx",Black Panther
80,💰qu’ran cook aka the dreamkiller👑,@johnnyfarmerCAW I made A Black panther Attire Even Before Chad Bosewick passes away and The Reason being is Because Black panther is My Favorite Hero in Marvel,Tue Sep 01 14:52:18 +0000 2020,"Suffolk, VA",1210,0,2,2020-09-01 14:52:18+00:00,False,johnnyfarmerCAW,@johnnyfarmerCAW,Missing_Retweet_ID,johnnyfarmerCAW,0.0,0.701,0.299,0.8555,Other,0.001652892561983471,15.125,0.001651528038472989,2.780370862681836,79,original,,@johnnyfarmercaw i made a black panther attire even before chad bosewick passes away and the reason being is because black panther is my favorite hero in marvel,Marvel
83,thejasminebrand,"#ChadwickBoseman fans are looking for ways to help his legacy continue in more ways than one. The #BlackPanther star tragically passed away Friday (Aug. 28th) after his four-year battle with colon cancer. Now, thousands have signed a petition to replace  https://t.co/XTgADVaMM3 https://t.co/8MtQLhV7Y5",Tue Sep 01 13:29:28 +0000 2020,TJBstaff@gmail.com,38424,0,5,2020-09-01 13:29:28+00:00,False,self,,Missing_Retweet_ID,,0.212,0.734,0.054,-0.8402,Other,0.00013012700395586093,462.93975903614455,0.0001301185381716918,6.139754714134173,82,original,,"#chadwickboseman fans are looking for ways to help his legacy continue in more ways than one. the #blackpanther star tragically passed away friday (aug. 28th) after his four-year battle with colon cancer. now, thousands have signed a petition to replace  https://t.co/xtgadvamm3 https://t.co/8mtqlhv7y5",Black Panther
84,martha mckinney,"Chadwick Boseman married longtime love before his death, family reveals https://t.co/PeQDjGlOP4 via @TODAYshow that's amazing that's amazing black panther just passed away and that's a sad but that's amazing this picture reminds me of black panther",Tue Sep 01 12:51:10 +0000 2020,New Jersey ,30,0,0,2020-09-01 12:51:10+00:00,True,TODAYshow,@TODAYshow,Missing_Retweet_ID,,0.098,0.629,0.273,0.8442,Other,0.0,0.35714285714285715,0.0,0.30538164955118186,83,original,,"chadwick boseman married longtime love before his death, family reveals https://t.co/peqdjglop4 via @todayshow that's amazing that's amazing black panther just passed away and that's a sad but that's amazing this picture reminds me of black panther",Black Panther
86,melvan miguel,"Dear children who stole your mothers phone and is inappropriately scrolling through this app... 

Can you read ? 

BLACK PANTHER DID NOT DIE. 
the ACTOR WHO PORTRAYED BLACK PANTHER IN A LIVE ACTION FILM DID WHO EVER PASS AWAY. 
BUT I REPEAT BLACK PANTHER IS NOT DEAD !!!!!!",Tue Sep 01 12:36:27 +0000 2020,END OF THE CUL-DE-SAC ,665,0,0,2020-09-01 12:36:27+00:00,False,self,,Missing_Retweet_ID,,0.0,0.796,0.204,0.8954,Other,0.0,7.732558139534884,0.0,2.167058355510627,85,original,,"dear children who stole your mothers phone and is inappropriately scrolling through this app... 

can you read ? 

black panther did not die. 
the actor who portrayed black panther in a live action film did who ever pass away. 
but i repeat black panther is not dead !!!!!!",Black Panther
89,hebergementwebs.com,"How to watch Black Panther online: stream it  Chadwick Boseman tragically passed away at the age of 43, following a battle with colon cancer. The African-American actor has received critical acclaim f https://t.co/laR1PlwXiO https://t.co/xNkbAMHFZm",Tue Sep 01 11:00:21 +0000 2020,USA,253,0,0,2020-09-01 11:00:21+00:00,False,self,,Missing_Retweet_ID,,0.317,0.683,0.0,-0.9186,Other,0.0,2.842696629213483,0.0,1.3461743673304654,88,original,,"how to watch black panther online: stream it  chadwick boseman tragically passed away at the age of 43, following a battle with colon cancer. the african-american actor has received critical acclaim f https://t.co/lar1plwxio https://t.co/xnkbamhfzm",Black Panther
90,deathpunch3520,So freaking awesome to see this. So sad to know an amazing actor passed away so young. Good for this little boy to show his love and support for the Black Panther. #WakandaForever,Tue Sep 01 10:56:16 +0000 2020,"Connecticut, USA",25,0,0,2020-09-01 10:56:16+00:00,True,self,,Missing_Retweet_ID,,0.128,0.512,0.36,0.9148,Other,0.0,0.2777777777777778,0.0,0.245122458032985,89,original,,so freaking awesome to see this. so sad to know an amazing actor passed away so young. good for this little boy to show his love and support for the black panther. #wakandaforever,Black Panther
100,juan.,"I remember when Black Panther faded away in Infinity War I said, Oh shit this is real! And now that Chadwick Boseman has passed away, oh shit this is real.",Tue Sep 01 06:19:58 +0000 2020,"Los Angeles, CA",135,0,0,2020-09-01 06:19:58+00:00,False,self,,Missing_Retweet_ID,,0.313,0.687,0.0,-0.908,Other,0.0,1.35,0.0,0.8544153281560676,99,original,,"i remember when black panther faded away in infinity war i said, oh shit this is real! and now that chadwick boseman has passed away, oh shit this is real.",Black Panther
101,amanda gibbs,@sherylunderwood it sucks. He had to pass away yesterday you're the great king and he played his part cuz he has one amazing person play tribute to black panther they should have a day for him my friend I love his movies rest in peace my king,Tue Sep 01 05:54:58 +0000 2020,"League City, TX",89,1,3,2020-09-01 05:54:58+00:00,False,sherylunderwood,@sherylunderwood,Missing_Retweet_ID,sherylunderwood,0.04,0.586,0.374,0.9686,Other,0.0449438202247191,0.8811881188118812,0.0439631234211161,0.6319035553192267,100,original,,@sherylunderwood it sucks. he had to pass away yesterday you're the great king and he played his part cuz he has one amazing person play tribute to black panther they should have a day for him my friend i love his movies rest in peace my king,Black Panther
118,em 🪰,"people that are discussing and trying to figure out the logistics of a new black panther movie are so gross gross gross im sorry but thats horrible, he literally just passed away",Tue Sep 01 02:01:55 +0000 2020,tx,615,0,3,2020-09-01 02:01:55+00:00,False,self,,Missing_Retweet_ID,,0.34,0.66,0.0,-0.9079,Other,0.004878048780487805,5.211864406779661,0.004866189651172902,1.8264610774209866,117,original,,"people that are discussing and trying to figure out the logistics of a new black panther movie are so gross gross gross im sorry but thats horrible, he literally just passed away",Black Panther
125,tom's 🎸son john,"It sickens me that ppl are over here pissed that #elizabetholsen didn't respond right away when #ChadwickBoseman passed away. 
Ppl express differently and grieve differently and you all can't except the fact. I know its Twitter and theres trolls, but for fuck sake, drow up",Tue Sep 01 00:01:37 +0000 2020,,2080,0,1,2020-09-01 00:01:37+00:00,False,self,,Missing_Retweet_ID,,0.218,0.782,0.0,-0.8793,Other,0.0004807692307692308,16.64,0.0004806536982707673,2.8701690505786455,124,original,,"it sickens me that ppl are over here pissed that #elizabetholsen didn't respond right away when #chadwickboseman passed away. 
ppl express differently and grieve differently and you all can't except the fact. i know its twitter and theres trolls, but for fuck sake, drow up",Chadwick Boseman
141,daily entertainment news,"Fans want Chadwick Boseman statue erected - A petition has been started for a statue of Chadwick Boseman to be erected in his hometown of Anderson.
The 'Black Panther' star tragically passed away last week at the age of 43 after a secret four year battle with colon cancer and ...",Mon Aug 31 19:50:02 +0000 2020,,130,0,0,2020-08-31 19:50:02+00:00,False,self,,Missing_Retweet_ID,,0.195,0.782,0.024,-0.886,Other,0.0,0.9219858156028369,0.0,0.6533589305015326,140,original,,"fans want chadwick boseman statue erected - a petition has been started for a statue of chadwick boseman to be erected in his hometown of anderson.
the 'black panther' star tragically passed away last week at the age of 43 after a secret four year battle with colon cancer and ...",Black Panther
151,hostos writing center,"Today's writing center #wisdom comes from Chadwick Boseman who unfortunately passed away this weekend from colon cancer. Our deepest condolences to all those who have been affected by his loss.

#ChadwickBoseman #BlackPanther #WakandaForever
#Writers #narratives #storytelling https://t.co/cGrwxdkwUg",Mon Aug 31 17:30:15 +0000 2020,,79,1,1,2020-08-31 17:30:15+00:00,True,self,,Missing_Retweet_ID,,0.245,0.755,0.0,-0.8658,Other,0.02531645569620253,0.5231788079470199,0.02500130220541727,0.42079947210827107,150,original,,"today's writing center #wisdom comes from chadwick boseman who unfortunately passed away this weekend from colon cancer. our deepest condolences to all those who have been affected by his loss.

#chadwickboseman #blackpanther #wakandaforever
#writers #narratives #storytelling https://t.co/cgrwxdkwug",Black Panther
157,- stup!d g!rl 🤌🏽,Why tf are yall posting pics n videos of yall kids crying because Black Panther passed away? That shit is hurtful af to them . yall need therapy not children.,Mon Aug 31 16:40:15 +0000 2020,"Portland, OR",937,0,0,2020-08-31 16:40:15+00:00,False,self,,Missing_Retweet_ID,,0.288,0.712,0.0,-0.8779,Other,0.0,5.968152866242038,0.0,1.9413501776336184,156,original,,why tf are yall posting pics n videos of yall kids crying because black panther passed away? that shit is hurtful af to them . yall need therapy not children.,Black Panther
162,roadie music,"Chadwick Boseman tragically passed away last Friday, after four long years of quietly battling with cancer. To commemorate his life and talent, weve revived this previous article https://t.co/96h0Kcaesq; a soundtrack review of his most known film: Black Panther. #chadwickboseman",Mon Aug 31 16:26:01 +0000 2020,United States,1193,0,1,2020-08-31 16:26:01+00:00,False,self,,Missing_Retweet_ID,,0.217,0.723,0.06,-0.8126,Other,0.0008382229673093043,7.364197530864198,0.0008378718546312832,2.1239603980814175,161,original,,"chadwick boseman tragically passed away last friday, after four long years of quietly battling with cancer. to commemorate his life and talent, weve revived this previous article https://t.co/96h0kcaesq; a soundtrack review of his most known film: black panther. #chadwickboseman",Black Panther
163,u.s. embassy budapest,"American actor Chadwick Boseman passed away August 28th.  ""He lived a beautiful life. And he made great art. Day after day, year after year. That was who he was. He was an epic firework display."" --'Black Panther' Director Ryan Coogler
#RIP https://t.co/trf575DaOb",Mon Aug 31 15:30:11 +0000 2020,"Budapest, Hungary",30601,2,4,2020-08-31 15:30:11+00:00,True,self,,Missing_Retweet_ID,,0.0,0.83,0.17,0.8402,Other,0.00019607202379007222,187.7361963190184,0.00019605280418305942,5.240350253370182,162,original,,"american actor chadwick boseman passed away august 28th.  ""he lived a beautiful life. and he made great art. day after day, year after year. that was who he was. he was an epic firework display."" --'black panther' director ryan coogler
#rip https://t.co/trf575daob",Black Panther
165,chi-k-doja,"At least he passed surrounded by loved one's. Even in death this man is an inspiration. To make such high level movies and help better our culture while doing #MakeAWish visits. I can only hope to be half the man he was! #RestInPowerKing
#WakandaForever #ChadwickBoseman",Mon Aug 31 15:15:19 +0000 2020,"Oxnard, CA",121,0,1,2020-08-31 15:15:19+00:00,True,self,,Missing_Retweet_ID,,0.067,0.655,0.277,0.9041,Other,0.008264462809917356,0.7333333333333333,0.008230499136515471,0.5500463369192718,164,original,,"at least he passed surrounded by loved one's. even in death this man is an inspiration. to make such high level movies and help better our culture while doing #makeawish visits. i can only hope to be half the man he was! #restinpowerking
#wakandaforever #chadwickboseman",Black Panther
169,novo health africa,"American Actor Chadwick Boseman @chadwickboseman passed away on 28th August 2020 due to an illness as a result of Colon Cancer. He kept his health condition secretly with his death a shock to all.

Rest in power, King T'challa! 

#ChadwickBoseman #BlackPanther #KingTChalla https://t.co/6Ci4rirzNa",Mon Aug 31 14:30:44 +0000 2020,"Lagos, Nigeria",1422,0,4,2020-08-31 14:30:44+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,,0.273,0.727,0.0,-0.9312,5.0,0.0028129395218002813,8.414201183431953,0.0028089906110550598,2.2422193134147133,168,original,,"american actor chadwick boseman @chadwickboseman passed away on 28th august 2020 due to an illness as a result of colon cancer. he kept his health condition secretly with his death a shock to all.

rest in power, king t'challa! 

#chadwickboseman #blackpanther #kingtchalla https://t.co/6ci4rirzna",Black Panther
171,gonzalo law,"Today, we remember the young and talented actor #chadwickboseman, who passed away on Friday. As a corporate and ip law firm, we honor the achievements of Mr. Boseman, who made amazing strides in his field. We send our deepest condolences to his family and friends at this time. https://t.co/gRcA6svE2V",Mon Aug 31 14:28:14 +0000 2020,Miami•Gainesville•Cleveland,1019,0,1,2020-08-31 14:28:14+00:00,False,self,,Missing_Retweet_ID,,0.0,0.767,0.233,0.9246,Other,0.0009813542688910696,5.95906432748538,0.0009808730555919516,1.9400450296029152,170,original,,"today, we remember the young and talented actor #chadwickboseman, who passed away on friday. as a corporate and ip law firm, we honor the achievements of mr. boseman, who made amazing strides in his field. we send our deepest condolences to his family and friends at this time. https://t.co/grca6sve2v",Chadwick Boseman
172,the brown identity,"@chadwickboseman passed away of colon cancer over the weekend and his death came as a major blow to the Hollywood industry and his fans alike. Read the article to find out more. #ChadwickBoseman #BlackPanther #WakandaForever 
.
https://t.co/NA2jwar8I4 https://t.co/Uk5mdKgRv7",Mon Aug 31 14:27:37 +0000 2020,,153,0,0,2020-08-31 14:27:37+00:00,True,chadwickboseman,@chadwickboseman,Missing_Retweet_ID,chadwickboseman,0.196,0.804,0.0,-0.8519,5.0,0.0,0.8895348837209303,0.0,0.6363307055162845,171,original,,"@chadwickboseman passed away of colon cancer over the weekend and his death came as a major blow to the hollywood industry and his fans alike. read the article to find out more. #chadwickboseman #blackpanther #wakandaforever 
.
https://t.co/na2jwar8i4 https://t.co/uk5mdkgrv7",Black Panther
190,sweat is free®,"Saw a touching tribute to Mr Boseman following the uninterrupted airing of Black Panther on ABC last night. 

I want to pass on one the encouragements last night. 

PLEASE take time to get health screenings, e.g. your annual check up. 

Mammograms, Colonoscopy, etc can be vital.",Mon Aug 31 11:08:23 +0000 2020,"Moore, OK",649,0,1,2020-08-31 11:08:23+00:00,False,self,,Missing_Retweet_ID,,0.0,0.806,0.194,0.824,Other,0.0015408320493066256,3.4157894736842107,0.0015396461855928,1.48518663430672,189,original,,"saw a touching tribute to mr boseman following the uninterrupted airing of black panther on abc last night. 

i want to pass on one the encouragements last night. 

please take time to get health screenings, e.g. your annual check up. 

mammograms, colonoscopy, etc can be vital.",Black Panther
191,mel,"@MaxposedYT of cancer that the Black Panther actor just passed from, and I'm really hoping that his death brings more people to get scans and colonoscopies. If that makes people feel guilty then I don't know what to tell them.  your :. The end",Mon Aug 31 10:52:43 +0000 2020,Mansfield Ohio,1226,0,0,2020-08-31 10:52:43+00:00,True,MaxposedYT,@MaxposedYT,Missing_Retweet_ID,MaxposedYT,0.209,0.733,0.058,-0.8405,Other,0.0,6.4188481675392675,0.0,2.0040238116440507,190,original,,"@maxposedyt of cancer that the black panther actor just passed from, and i'm really hoping that his death brings more people to get scans and colonoscopies. if that makes people feel guilty then i don't know what to tell them.  your :. the end",Black Panther
196,h24 news celebs,"Just two days after her Black Panther co-star Chadwick Boseman tragically passed away, Danai Gurira opened up about his death https://t.co/0JvtuSMqnu",Mon Aug 31 09:19:21 +0000 2020,"London, England",25,0,0,2020-08-31 09:19:21+00:00,True,self,,Missing_Retweet_ID,,0.286,0.714,0.0,-0.8225,Other,0.0,0.12755102040816327,0.0,0.12004804228723559,195,original,,"just two days after her black panther co-star chadwick boseman tragically passed away, danai gurira opened up about his death https://t.co/0jvtusmqnu",Black Panther
202,anna😁,@ThePerezHilton I forgot  about it! but seriously theres a lot of black panther comments on here &amp; thats cool in all buuuuutttttt... like how do you not just own it already. It was awesome before @chadwickboseman  passed away!  #WakandaForever  #KingTchalla ,Mon Aug 31 06:42:21 +0000 2020,,201,0,1,2020-08-31 06:42:21+00:00,True,ThePerezHilton,"@ThePerezHilton, @chadwickboseman",Missing_Retweet_ID,ThePerezHilton,0.042,0.701,0.256,0.9078,5.0,0.004975124378109453,0.995049504950495,0.00496278934212901,0.6906688645454783,201,original,,@theperezhilton i forgot  about it! but seriously theres a lot of black panther comments on here &amp; thats cool in all buuuuutttttt... like how do you not just own it already. it was awesome before @chadwickboseman  passed away!  #wakandaforever  #kingtchalla ,Black Panther
203,alistair 🎗|| check 📌||free palestine 🇵🇸,"I know its a sad time since #ChadwickBoseman passed away, but know you are love and just because he isnt here anymore doesnt mean you have to leave. Continue to be proud as you are and be powerful! Chadwick has brought many smiles to many young black children. May he rest easy",Mon Aug 31 06:41:50 +0000 2020,Any prns,281,0,0,2020-08-31 06:41:50+00:00,True,self,,Missing_Retweet_ID,,0.049,0.63,0.321,0.9705,Other,0.0,1.3842364532019704,0.0,0.8688789276748443,202,original,,"i know its a sad time since #chadwickboseman passed away, but know you are love and just because he isnt here anymore doesnt mean you have to leave. continue to be proud as you are and be powerful! chadwick has brought many smiles to many young black children. may he rest easy",Chadwick Boseman
